,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
32,683. Angus Crookshank,OTT,23,"Oct. 2, 1999",Canada,181 lbs - 82 kg,"5'11"" - 180 cm",LW,Left,126 - Round 5 - 2018 (OTT),,✓,,13,2.0,1.0,3.0,0.23,-3.0,20.0,0.1,10:06,1.5,20.0,33.0,26.0,0.68,9.13,15.06,11.87,52.0,64.0,44.83,118.0,135.0,46.64,81.0,93.0,46.55,4.59,5.01,47.81,,,,,,,,,OTT,Entry-Level,,"Mar. 17, 2021",21,,,,3,ELC,10.2(c),2024,"$838,333",1.0%,"$838,333","$855,000","$775,000","$70,000","$80,000",$0
33,684. Ukko-Pekka Luukkonen,BUF,24,"Mar. 9, 1999",Finland,190 lbs - 86 kg,"6'4"" - 193 cm",G,Left,54 - Round 2 - 2017 (BUF),,,✔,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,22.0,5.0,2.57,0.91,2.57,2.99,0.42,BUF,Standard (1-way),,"Aug. 31, 2022",23,,,,2,RFA,RFA,2024,"$837,500",1.0%,"$837,500","$925,000","$925,000","$925,000",$0,$0
34,685. Jake Neighbours,STL,21,"Mar. 29, 2002",Canada,195 lbs - 88 kg,"6'0"" - 183 cm","LW, RW",Left,26 - Round 1 - 2020 (STL),,✓,,77,27.0,11.0,38.0,0.49,-16.0,145.0,0.19,15:42,24.75,145.0,233.0,194.0,1.23,7.19,11.56,9.61,604.0,626.0,49.11,1212.0,1217.0,49.9,876.0,891.0,49.58,75.9,70.22,51.94,,,,,,,,,STL,Entry-Level,,"Oct. 17, 2020",18,,,,3,ELC,RFA,2025,"$835,833",1.0%,"$863,333","$832,500","$832,500","$80,000",$0,$0
35,686. Joshua Roy,MTL,19,"Aug. 6, 2003",Canada,190 lbs - 86 kg,"6'0"" - 183 cm","LW, RW",Left,150 - Round 5 - 2021 (MTL),,✓,,23,4.0,5.0,9.0,0.39,-2.0,34.0,0.12,12:08,4.51,34.0,77.0,62.0,0.97,7.31,16.55,13.32,136.0,134.0,50.37,277.0,269.0,50.73,205.0,187.0,52.3,13.07,11.84,52.47,,,,,,,,,MTL,Entry-Level,,"Mar. 30, 2022",18,,,,3,ELC,RFA,2026,"$835,000",1.0%,"$881,667","$867,500","$775,000","$80,000","$92,500","$57,500"
36,687. Mark Kastelic,OTT,24,"Mar. 11, 1999",United States,223 lbs - 101 kg,"6'4"" - 193 cm","C, RW",Right,125 - Round 5 - 2019 (OTT),,,✔,63,5.0,5.0,10.0,0.16,-5.0,60.0,0.08,07:43,6.56,61.0,90.0,78.0,0.81,7.52,11.1,9.61,205.0,223.0,47.9,448.0,485.0,48.02,302.0,320.0,48.55,16.97,18.73,47.52,,,,,,,,,OTT,Standard (1-way),✔,"Oct. 27, 2022",24,✔,,,2,RFA,RFA,2025,"$835,000",1.0%,"$835,000","$800,000","$800,000","$800,000",$0,$0
37,688. Adam Klapka,CGY,22,"Sep. 14, 2000",Czech Republic,245 lbs - 111 kg,"6'8"" - 203 cm","RW, C",Right,,,✓,,6,1.0,0.0,1.0,0.17,-1.0,4.0,0.25,06:45,0.3,2.0,2.0,2.0,0.56,3.75,3.75,3.75,9.0,19.0,32.14,20.0,36.0,35.71,13.0,26.0,33.33,0.8,2.13,27.3,,,,,,,,,CGY,Entry-Level,,"May 16, 2022",21,,,,2,ELC,RFA,2024,"$832,500",1.0%,"$832,500","$845,000","$775,000","$70,000","$70,000",$0
38,689. Ilya Solovyov,CGY,22,"Jul. 20, 2000",Belarus,208 lbs - 94 kg,"6'3"" - 191 cm",LD,Left,205 - Round 7 - 2020 (CGY),,,,10,0.0,3.0,3.0,0.3,-3.0,10.0,0.0,15:53,0.28,8.0,23.0,14.0,0.12,3.37,9.68,5.89,65.0,74.0,46.76,123.0,150.0,45.05,90.0,104.0,46.39,5.82,7.29,44.39,,,,,,,,,CGY,Entry-Level,,"Apr. 6, 2021",20,,,,3,ELC,RFA,2024,"$828,333",1.0%,"$828,333","$845,000","$775,000","$80,000","$70,000",$0
39,690. Ryan Winterton,SEA,19,"Sep. 4, 2003",Canada,175 lbs - 79 kg,"6'2"" - 188 cm",C,Right,67 - Round 3 - 2021 (SEA),,✓,,9,0.0,0.0,0.0,0.0,-1.0,10.0,0.0,09:20,0.72,10.0,18.0,16.0,0.51,7.14,12.85,11.42,29.0,38.0,43.28,68.0,81.0,45.64,49.0,52.0,48.51,2.6,3.08,45.77,,,,,,,,,SEA,Entry-Level,,"Jul. 13, 2022",18,,,,3,ELC,RFA,2026,"$828,333",1.0%,"$828,333","$855,000","$775,000","$75,000","$80,000",$0
40,691. Will Cuylle,NYR,21,"Feb. 5, 2002",Canada,204 lbs - 93 kg,"6'3"" - 191 cm",LW,Left,60 - Round 2 - 2020 (NYR),,✓,,81,13.0,8.0,21.0,0.26,-3.0,119.0,0.11,11:07,13.67,118.0,206.0,156.0,0.91,7.86,13.72,10.39,426.0,412.0,50.84,849.0,860.0,49.68,605.0,607.0,49.92,35.89,35.5,50.27,,,,,,,,,NYR,Entry-Level,,"Apr. 19, 2021",19,,,,3,ELC,RFA,2025,"$828,333",1.0%,"$902,500","$867,500","$775,000","$80,000","$92,500","$82,500"
41,692. Arber Xhekaj,MTL,22,"Jan. 30, 2001",Canada,238 lbs - 108 kg,"6'4"" - 193 cm",LD/RD,Left,,,✓,,44,3.0,7.0,10.0,0.23,6.0,61.0,0.05,15:55,1.86,61.0,156.0,90.0,0.16,5.22,13.36,7.71,342.0,353.0,49.21,694.0,704.0,49.64,488.0,505.0,49.14,33.02,35.08,48.49,,,,,,,,,MTL,Entry-Level,,"Oct. 4, 2021",20,,,,3,ELC,RFA,2024,"$828,333",1.0%,"$828,333","$835,000","$775,000","$70,000","$60,000",$0
42,693. Daemon Hunt,MIN,21,"May 15, 2002",Canada,198 lbs - 90 kg,"6'0"" - 183 cm",LD,Left,65 - Round 3 - 2020 (MIN),,✓,,12,0.0,1.0,1.0,0.08,-1.0,7.0,0.0,11:30,0.44,7.0,21.0,13.0,0.19,3.04,9.13,5.65,75.0,58.0,56.39,149.0,141.0,51.38,111.0,98.0,53.11,5.3,8.22,39.2,,,,,,,,,MIN,Entry-Level,,"May 6, 2021",19,,,,3,ELC,RFA,2025,"$828,333",1.0%,"$902,500","$867,500","$775,000","$80,000","$92,500","$82,500"
43,694. Calen Addison,SJS,23,"Apr. 11, 2000",Canada,178 lbs - 81 kg,"5'10"" - 178 cm",RD,Right,53 - Round 2 - 2018 (PIT),,,,72,1.0,16.0,17.0,0.24,-38.0,93.0,0.01,17:16,5.11,92.0,217.0,124.0,0.25,4.51,10.65,6.09,590.0,609.0,49.21,1265.0,1226.0,50.78,864.0,875.0,49.68,61.5,69.45,46.96,,,,,,,,,MIN,Standard (1-way),,"Sep. 19, 2023",23,,,,1,RFA,RFA,2024,"$825,000",1.0%,"$825,000","$825,000","$825,000","$825,000",$0,$0
44,695. Dakota Joshua,VAN,27,"May 15, 1996",United States,183 lbs - 83 kg,"6'2"" - 188 cm",LW,Left,128 - Round 5 - 2014 (TOR),,,,63,18.0,14.0,32.0,0.51,19.0,84.0,0.21,14:23,15.58,82.0,141.0,119.0,1.05,5.53,9.51,8.02,388.0,452.0,46.19,759.0,872.0,46.54,568.0,623.0,47.69,46.79,47.5,49.62,,,,,,,,,VAN,Standard (1-way),,"Jul. 13, 2022",26,,,,2,UFA,UFA,2024,"$825,000",1.0%,"$825,000","$850,000","$850,000","$850,000",$0,$0
45,696. Jonathan Quick,NYR,37,"Jan. 21, 1986",United States,216 lbs - 98 kg,"6'1"" - 185 cm",G,Left,72 - Round 3 - 2005 (LAK),,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,6.0,2.0,2.62,0.911,2.62,3.11,0.5,NYR,35+ (1-way),,"Jul. 1, 2023",37,,,M-NTC,1,UFA,UFA,2024,"$825,000",1.0%,"$925,000","$825,000","$775,000","$825,000","$50,000","$100,000"
46,697. Walker Duehr,CGY,25,"Nov. 23, 1997",United States,210 lbs - 95 kg,"6'2"" - 188 cm",RW,Right,,,,,40,2.0,5.0,7.0,0.18,-3.0,29.0,0.07,08:07,2.81,29.0,62.0,50.0,0.52,5.36,11.46,9.24,132.0,161.0,45.05,277.0,335.0,45.26,198.0,228.0,46.48,12.47,16.67,42.79,,,,,,,,,CGY,Standard (1-way),✔,"Apr. 24, 2023",25,✔,,,2,RFA,UFA,2025,"$825,000",1.0%,"$825,000","$775,000","$775,000","$775,000",$0,$0
47,698. Jonathan Drouin,COL,28,"Mar. 28, 1995",Canada,203 lbs - 92 kg,"6'0"" - 183 cm","LW, RW",Left,3 - Round 1 - 2013 (TBL),,,,79,19.0,37.0,56.0,0.71,12.0,127.0,0.15,18:11,15.74,126.0,245.0,182.0,0.66,5.32,10.34,7.68,961.0,582.0,62.28,1857.0,1123.0,62.32,1366.0,833.0,62.12,104.11,61.81,62.75,,,,,,,,,COL,Standard (1-way),,"Jul. 1, 2023",28,,,,1,UFA,UFA,2024,"$825,000",1.0%,"$825,000","$825,000","$825,000","$825,000",$0,$0
48,699. Joseph Veleno,DET,23,"Jan. 13, 2000",Canada,191 lbs - 87 kg,"6'1"" - 185 cm",C,Left,30 - Round 1 - 2018 (DET),,,,80,12.0,16.0,28.0,0.35,-16.0,86.0,0.14,13:57,12.85,86.0,168.0,132.0,0.69,4.62,9.02,7.09,495.0,571.0,46.44,981.0,1148.0,46.08,715.0,821.0,46.55,49.6,57.63,46.26,,,,,,,,,DET,Standard (1-way),,"Aug. 22, 2023",23,,,,1,RFA,RFA,2024,"$825,000",1.0%,"$825,000","$825,000","$825,000","$825,000",$0,$0
49,700. Pierre-Olivier Joseph,PIT,24,"Jul. 1, 1999",Canada,185 lbs - 84 kg,"6'2"" - 188 cm",LD,Left,23 - Round 1 - 2017 (ARI),,,✔,52,2.0,9.0,11.0,0.21,-3.0,42.0,0.05,15:05,1.21,42.0,112.0,63.0,0.09,3.21,8.57,4.82,373.0,414.0,47.4,776.0,820.0,48.62,554.0,605.0,47.8,35.1,39.85,46.83,,,,,,,,,PIT,Standard (1-way),✔,"Jul. 12, 2022",22,,,,2,RFA,RFA,2024,"$825,000",1.0%,"$825,000","$850,000","$850,000","$850,000",$0,$0
0,701. Alexander Alexeyev,WSH,23,"Nov. 15, 1999",Russia,196 lbs - 89 kg,"6'4"" - 193 cm",LD/RD,Left,31 - Round 1 - 2018 (WSH),,,,39,1.0,2.0,3.0,0.08,-8.0,20.0,0.05,13:41,0.51,20.0,60.0,30.0,0.06,2.25,6.74,3.37,193.0,223.0,46.39,430.0,517.0,45.41,288.0,340.0,45.86,18.5,20.3,47.68,,,,,,,,,WSH,Standard (1-way),✔,"May 2, 2023",23,,,,2,RFA,RFA,2025,"$825,000",1.0%,"$825,000","$775,000","$775,000","$775,000",$0,$0
1,702. Zack Ostapchuk,OTT,20,"May 29, 2003",Canada,203 lbs - 92 kg,"6'4"" - 193 cm",C,Left,39 - Round 2 - 2021 (OTT),,✓,,7,0.0,0.0,0.0,0.0,-1.0,5.0,0.0,10:29,0.39,5.0,7.0,6.0,0.32,4.08,5.72,4.9,27.0,42.0,39.13,55.0,77.0,41.67,34.0,55.0,38.2,2.2,3.89,36.11,,,,,,,,,OTT,Entry-Level,,"Sep. 29, 2021",18,,,,3,ELC,RFA,2026,"$825,000",1.0%,"$880,000","$867,500","$775,000","$80,000","$92,500","$82,500"
2,703. Nick Blankenburg,CBJ,25,"May 12, 1998",United States,175 lbs - 79 kg,"5'9"" - 175 cm",LD/RD,Right,,,,,12,1.0,0.0,1.0,0.08,1.0,10.0,0.1,16:12,0.47,10.0,28.0,17.0,0.15,3.09,8.64,5.24,97.0,124.0,43.89,186.0,225.0,45.26,132.0,172.0,43.42,10.86,13.22,45.1,,,,,,,,,CBJ,Standard (1-way),,"Jul. 15, 2022",24,,,,2,RFA,UFA Group 6,2024,"$825,000",1.0%,"$825,000","$850,000","$850,000","$850,000",$0,$0
3,704. Erik Gustafsson,NYR,31,"Mar. 14, 1992",Sweden,197 lbs - 89 kg,"6'0"" - 183 cm",LD,Left,93 - Round 4 - 2012 (EDM),,,,76,6.0,25.0,31.0,0.41,3.0,93.0,0.06,17:23,5.03,93.0,240.0,154.0,0.23,4.22,10.89,6.99,729.0,581.0,55.65,1494.0,1147.0,56.57,1082.0,854.0,55.89,70.37,58.68,54.53,,,,,,,,,NYR,Standard (1-way),,"Jul. 1, 2023",31,,,,1,UFA,UFA,2024,"$825,000",1.0%,"$825,000","$825,000","$825,000","$825,000",$0,$0
4,705. Andrew Cogliano,COL,36,"Jun. 14, 1987",Canada,175 lbs - 79 kg,"5'10"" - 178 cm",LW,Left,25 - Round 1 - 2005 (EDM),,,,75,6.0,13.0,19.0,0.25,11.0,61.0,0.1,10:36,5.21,62.0,102.0,81.0,0.4,4.75,7.81,6.2,310.0,427.0,42.06,606.0,871.0,41.03,424.0,615.0,40.81,25.56,51.19,33.29,,,,,,,,,COL,35+ (1-way),,"Jul. 1, 2023",36,,,,1,UFA,UFA,2024,"$825,000",1.0%,"$825,000","$825,000","$825,000","$825,000",$0,$0
5,706. Sebastian Aho,NYI,27,"Feb. 17, 1996",Sweden,176 lbs - 80 kg,"5'10"" - 178 cm",LD,Left,139 - Round 5 - 2017 (NYI),,,,58,2.0,7.0,9.0,0.16,-7.0,48.0,0.04,16:23,2.38,48.0,124.0,77.0,0.15,3.03,7.83,4.86,482.0,477.0,50.26,900.0,981.0,47.85,669.0,693.0,49.12,48.0,47.95,50.03,,,,,,,,,NYI,Standard (1-way),✔,"Jul. 9, 2022",26,,,,2,UFA,UFA,2024,"$825,000",1.0%,"$825,000","$850,000","$850,000","$850,000",$0,$0
6,707. Pavel Dorofeyev,VGK,22,"Oct. 26, 2000",Russia,176 lbs - 80 kg,"6'0"" - 183 cm","LW, RW",Left,79 - Round 3 - 2019 (VGK),,,,47,13.0,11.0,24.0,0.51,8.0,97.0,0.13,13:16,11.85,97.0,170.0,138.0,1.17,9.59,16.8,13.64,325.0,263.0,55.27,654.0,568.0,53.52,460.0,391.0,54.05,30.42,22.52,57.46,,,,,,,,,VGK,Standard (1-way),,"Jul. 19, 2023",22,,,,1,RFA,RFA,2024,"$825,000",1.0%,"$825,000","$825,000","$825,000","$825,000",$0,$0
7,708. Zach Parise,,38,"Jul. 28, 1984",United States,195 lbs - 88 kg,"5'11"" - 180 cm",LW,Left,17 - Round 1 - 2003 (NJD),,,,30,5.0,5.0,10.0,0.33,-7.0,50.0,0.1,12:58,5.71,47.0,75.0,59.0,0.91,7.48,11.94,9.39,199.0,210.0,48.66,371.0,421.0,46.84,255.0,301.0,45.86,18.11,22.15,44.98,,,,,,,,,COL,35+ (1-way),,"Jan. 26, 2024",38,,,,1,UFA,UFA,2024,"$825,000",1.0%,"$825,000","$825,000","$825,000","$825,000",$0,$0
8,709. Jordan Spence,LAK,22,"Feb. 24, 2001",Australia,175 lbs - 79 kg,"5'10"" - 178 cm",RD,Right,95 - Round 4 - 2019 (LAK),,,,71,2.0,22.0,24.0,0.34,5.0,80.0,0.03,14:25,3.66,79.0,195.0,110.0,0.22,4.7,11.6,6.54,580.0,411.0,58.53,1180.0,786.0,60.02,852.0,585.0,59.29,56.36,38.47,59.43,,,,,,,,,LAK,Entry-Level,,"Jun. 3, 2020",19,,,,3,ELC,RFA,2024,"$820,000",1.0%,"$919,167","$775,000","$775,000","$70,000",$0,"$82,500"
9,710. Matt Rempe,NYR,21,"Jun. 29, 2002",Canada,205 lbs - 93 kg,"6'8"" - 203 cm","C, RW",Right,165 - Round 6 - 2020 (NYR),,✓,,17,1.0,1.0,2.0,0.12,1.0,12.0,0.08,05:37,1.56,12.0,20.0,14.0,0.98,7.53,12.55,8.77,37.0,41.0,47.44,83.0,84.0,49.7,54.0,63.0,46.15,3.58,3.17,53.04,,,,,,,,,NYR,Entry-Level,,"Nov. 4, 2021",19,,,,3,ELC,RFA,2025,"$820,000",1.0%,"$820,000","$855,000","$775,000","$70,000","$80,000",$0
10,711. Milos Kelemen,UTA,23,"Jul. 6, 1999",Slovakia,163 lbs - 74 kg,"6'1"" - 185 cm",RW,Left,,,✓,,10,0.0,1.0,1.0,0.1,-2.0,5.0,0.0,07:40,0.53,5.0,12.0,8.0,0.41,3.91,9.36,6.25,22.0,40.0,35.47,47.0,73.0,39.17,32.0,59.0,35.15,1.44,4.41,24.62,,,,,,,,,ARI,Entry-Level,,"May 5, 2022",22,,,,2,ELC,RFA,2024,"$817,500",1.0%,"$817,500","$830,000","$775,000","$70,000","$55,000",$0
11,712. Nikita Alexandrov,STL,22,"Sep. 16, 2000",Germany,190 lbs - 86 kg,"6'0"" - 183 cm",C,Left,62 - Round 2 - 2019 (STL),,,,23,0.0,2.0,2.0,0.09,-4.0,15.0,0.0,08:31,1.15,15.0,25.0,19.0,0.35,4.59,7.65,5.81,65.0,96.0,40.36,149.0,172.0,46.42,94.0,126.0,42.73,5.07,7.99,38.82,,,,,,,,,STL,Entry-Level,,"Aug. 1, 2019",18,,,,3,ELC,RFA,2024,"$816,667",1.0%,"$880,000","$832,500","$832,500","$70,000",$0,$0
12,713. Arshdeep Bains,VAN,22,"Jan. 9, 2001",Canada,185 lbs - 84 kg,"6'0"" - 183 cm",LW,Left,,,✓,,8,0.0,0.0,0.0,0.0,-5.0,4.0,0.0,11:48,0.52,4.0,10.0,6.0,0.33,2.54,6.35,3.81,30.0,39.0,43.48,72.0,79.0,47.68,47.0,55.0,46.08,2.58,4.51,36.34,,,,,,,,,VAN,Entry-Level,,"Mar. 11, 2022",21,,,,3,ELC,RFA,2025,"$816,667",1.0%,"$816,667","$825,000","$775,000","$70,000","$50,000",$0
13,714. Logan Stankoven,DAL,20,"Feb. 26, 2003",Canada,170 lbs - 77 kg,"5'8"" - 173 cm","C, RW",Right,47 - Round 2 - 2021 (DAL),,✓,,24,6.0,8.0,14.0,0.58,10.0,51.0,0.12,14:40,7.15,51.0,104.0,78.0,1.22,8.69,17.72,13.29,226.0,142.0,61.41,461.0,302.0,60.42,324.0,212.0,60.45,26.49,11.87,69.06,,,,,,,,,DAL,Entry-Level,,"Sep. 28, 2021",18,,,,3,ELC,RFA,2026,"$814,167",1.0%,"$880,000","$867,500","$775,000","$80,000","$92,500","$82,500"
14,715. Vincent Iorio,WSH,20,"Nov. 14, 2002",Canada,200 lbs - 91 kg,"6'4"" - 193 cm",RD,Right,55 - Round 2 - 2021 (WSH),,✓,,6,0.0,0.0,0.0,0.0,1.0,6.0,0.0,09:49,0.13,6.0,9.0,6.0,0.13,6.11,9.16,6.11,18.0,23.0,43.9,42.0,53.0,44.21,29.0,36.0,44.62,1.53,1.89,44.74,,,,,,,,,WSH,Entry-Level,,"Oct. 4, 2021",18,,,,3,ELC,RFA,2026,"$814,167",1.0%,"$863,333","$867,500","$775,000","$80,000","$92,500","$57,500"
15,716. Dustin Wolf,CGY,22,"Apr. 16, 2001",United States,155 lbs - 70 kg,"6'0"" - 183 cm",G,Left,214 - Round 7 - 2019 (CGY),,✓,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,3.16,0.893,3.3,2.72,-0.58,CGY,Entry-Level,,"May 1, 2020",19,,,,3,ELC,RFA,2024,"$813,333",1.0%,"$825,000","$775,000","$775,000","$70,000",$0,"$15,000"
16,717. Maxence Guénette,OTT,22,"Apr. 28, 2001",Canada,196 lbs - 89 kg,"6'3"" - 191 cm",RD,Right,187 - Round 7 - 2019 (OTT),,,,7,0.0,0.0,0.0,0.0,-1.0,6.0,0.0,13:47,0.23,6.0,21.0,8.0,0.14,3.73,13.05,4.97,42.0,58.0,42.0,98.0,116.0,45.79,66.0,86.0,43.42,3.15,5.57,36.11,,,,,,,,,OTT,Entry-Level,,"Apr. 3, 2021",20,,,,3,ELC,RFA,2024,"$813,333",1.0%,"$813,333","$830,000","$775,000","$70,000","$55,000",$0
17,718. Lukas Dostal,ANA,23,"Jun. 22, 2000",Czech Republic,191 lbs - 87 kg,"6'2"" - 188 cm",G,Left,85 - Round 3 - 2018 (ANA),,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,23.0,1.0,3.33,0.902,3.39,3.37,-0.02,ANA,Standard (2-way),,"Jul. 16, 2023",23,,,,2,RFA,RFA,2025,"$812,500",1.0%,"$812,500","$775,000","$775,000","$325,000",$0,$0
18,719. Zachary Jones,NYR,22,"Oct. 18, 2000",United States,175 lbs - 79 kg,"5'11"" - 180 cm",LD,Left,68 - Round 3 - 2019 (NYR),,,,31,2.0,7.0,9.0,0.29,1.0,42.0,0.05,14:37,1.83,42.0,69.0,52.0,0.24,5.56,9.13,6.88,219.0,231.0,48.67,439.0,438.0,50.06,322.0,323.0,49.92,19.54,21.17,48.0,,,,,,,,,NYR,Standard (1-way),✔,"Jun. 16, 2023",22,,,,2,RFA,RFA,2025,"$812,500",1.0%,"$812,500","$800,000","$800,000","$800,000",$0,$0
19,720. Michael Pezzetta,MTL,25,"Mar. 13, 1998",Canada,218 lbs - 99 kg,"6'1"" - 185 cm","LW, RW",Left,160 - Round 6 - 2016 (MTL),,,,61,3.0,9.0,12.0,0.2,4.0,42.0,0.07,07:47,3.44,42.0,94.0,61.0,0.43,5.3,11.86,7.7,162.0,227.0,41.65,360.0,503.0,41.71,239.0,343.0,41.07,11.96,22.03,35.19,,,,,,,,,MTL,Standard (1-way),✔,"Jun. 2, 2023",25,✔,,,2,RFA,UFA,2025,"$812,500",1.0%,"$812,500","$800,000","$800,000","$800,000",$0,$0
20,721. Jonah Gadjovich,FLA,24,"Oct. 12, 1998",Canada,200 lbs - 91 kg,"6'2"" - 188 cm","LW, RW",Left,55 - Round 2 - 2017 (VAN),,,✔,39,2.0,2.0,4.0,0.1,0.0,29.0,0.07,07:25,3.04,29.0,55.0,39.0,0.63,6.0,11.39,8.07,115.0,111.0,50.88,255.0,255.0,50.0,168.0,186.0,47.46,9.55,11.62,45.11,,,,,,,,,FLA,Standard (1-way),,"Oct. 16, 2023",24,✔,,,1,UFA,RFA,2024,"$810,000",1.0%,"$810,000","$810,000","$810,000","$810,000",$0,$0
21,722. James Hamblin,EDM,24,"Apr. 27, 1999",Canada,175 lbs - 79 kg,"5'9"" - 175 cm","RW, C",Left,,,✓,,31,2.0,1.0,3.0,0.1,3.0,18.0,0.11,07:55,3.12,18.0,38.0,27.0,0.76,4.4,9.27,6.59,107.0,109.0,49.54,209.0,241.0,46.44,142.0,159.0,47.18,9.17,9.75,48.47,,,,,,,,,EDM,Entry-Level,,"Mar. 2, 2022",23,,,,2,ELC,RFA,2024,"$807,500",1.0%,"$807,500","$820,000","$775,000","$80,000","$45,000",$0
22,723. Jacob Bernard-Docker,OTT,23,"Jun. 30, 2000",Canada,190 lbs - 86 kg,"6'1"" - 185 cm",RD,Right,26 - Round 1 - 2018 (OTT),,,,72,4.0,10.0,14.0,0.19,-7.0,51.0,0.08,15:41,1.67,51.0,136.0,77.0,0.09,2.71,7.22,4.09,467.0,583.0,44.48,968.0,1242.0,43.8,671.0,850.0,44.12,40.47,61.61,39.65,,,,,,,,,OTT,Standard (1-way),✔,"Jul. 1, 2023",23,,,,2,RFA,RFA,2025,"$805,000",1.0%,"$805,000","$785,000","$785,000","$785,000",$0,$0
23,724. Mackenzie Entwistle,CHI,23,"Jul. 14, 1999",Canada,181 lbs - 82 kg,"6'3"" - 191 cm","LW, C",Right,69 - Round 3 - 2017 (ARI),,,✔,67,5.0,6.0,11.0,0.16,-29.0,66.0,0.08,11:23,7.52,65.0,126.0,95.0,0.6,5.19,10.05,7.58,335.0,468.0,41.72,642.0,851.0,43.0,448.0,626.0,41.71,25.85,45.05,36.46,,,,,,,,,CHI,Standard (1-way),✔,"Aug. 18, 2021",22,,,,2,RFA,RFA,2024,"$800,000",1.0%,"$800,000","$850,000","$850,000","$850,000",$0,$0
24,725. Blake Wheeler,NYR,36,"Aug. 31, 1986",United States,225 lbs - 102 kg,"6'5"" - 196 cm",RW,Right,5 - Round 1 - 2004 (ARI),,,,54,9.0,12.0,21.0,0.39,2.0,83.0,0.11,12:43,9.23,83.0,144.0,116.0,0.81,7.25,12.58,10.13,351.0,321.0,52.23,709.0,658.0,51.87,513.0,480.0,51.66,34.89,32.51,51.77,,,,,,,,,NYR,35+ (1-way),,"Jul. 1, 2023",36,,,NTC,1,UFA,UFA,2024,"$800,000",1.0%,"$1,100,000","$800,000","$800,000","$800,000",$0,"$300,000"
25,726. Zachary Sanford,CHI,28,"Nov. 9, 1994",United States,207 lbs - 94 kg,"6'4"" - 193 cm","LW, RW",Left,61 - Round 2 - 2013 (WSH),,,,29,0.0,6.0,6.0,0.21,0.0,24.0,0.0,10:50,3.72,24.0,54.0,39.0,0.71,4.58,10.31,7.45,144.0,151.0,48.81,287.0,313.0,47.83,208.0,225.0,48.04,15.31,12.25,55.55,,,,,,,,,ARI,Standard (2-way),,"Jul. 14, 2023",28,,,,1,UFA,UFA,2024,"$800,000",1.0%,"$800,000","$800,000","$800,000","$150,000",$0,$0
26,727. Luke Glendening,TBL,34,"Apr. 28, 1989",United States,191 lbs - 87 kg,"5'11"" - 180 cm","C, RW, LW",Right,,,,,81,10.0,1.0,11.0,0.14,-2.0,57.0,0.18,11:36,6.97,57.0,111.0,83.0,0.44,3.63,7.07,5.29,260.0,519.0,33.38,563.0,1062.0,34.65,382.0,740.0,34.04,22.44,56.16,28.55,,,,,,,,,TBL,Standard (1-way),,"Jul. 1, 2023",34,,,,2,UFA,UFA,2025,"$800,000",1.0%,"$800,000","$800,000","$800,000","$800,000",$0,$0
27,728. Mark Giordano,TOR,39,"Oct. 3, 1983",Canada,200 lbs - 91 kg,"6'1"" - 185 cm",LD,Left,,,,,46,3.0,6.0,9.0,0.2,10.0,59.0,0.05,16:37,2.63,59.0,147.0,83.0,0.21,4.63,11.54,6.52,389.0,395.0,49.62,785.0,833.0,48.52,547.0,591.0,48.07,38.78,43.14,47.34,,,,,,,,,TOR,35+ (1-way),✔,"May 22, 2022",38,,,,2,UFA,UFA,2024,"$800,000",1.0%,"$800,000","$800,000","$800,000","$800,000",$0,$0
28,729. Travis Dermott,UTA,26,"Dec. 22, 1996",Canada,205 lbs - 93 kg,"6'0"" - 183 cm",LD/RD,Left,34 - Round 2 - 2015 (TOR),,,,50,2.0,5.0,7.0,0.14,-14.0,38.0,0.05,17:16,1.57,38.0,84.0,56.0,0.11,2.64,5.83,3.89,330.0,520.0,38.82,660.0,1050.0,38.6,482.0,792.0,37.83,35.93,54.87,39.57,,,,,,,,,ARI,Standard (2-way),,"Jul. 11, 2023",26,,,,1,UFA,UFA,2024,"$800,000",1.0%,"$800,000","$800,000","$800,000","$450,000",$0,$0
